grouptax;sortnophyl;id;sname;authorship;rank;uninomen;accepted;related_to_accepted;basionym;fk_aphia_basionym;protonym;remarks;parent_id;fk_telangio_taxon;phylum;authonym;year;sortnospe;nothonym;prefavatar;fk_ref_morphonym;comnames;comnames_languages;fk_ref_comnames;taxonp;taxongp;fk_eunis_morphonym;fk_aphia_morphonym;fk_aphia_ergonym;fk_aphia_parent;checked_by;checked_date;validated_by;validated_date;workfield;status_synonymy;status_onym;status_chresonym;Fossil
Harpacticoida;97555;88192;Mesochra bodini;Kunz, 1975;Species;bodini;1;88192;1;353285;1;;88182;88182;Harpacticoida;Kunz;1975;97013;0;1;;;;;Mesochra;Canthocamptidae;;353285;353285;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97565;88194;Mesochra flava;Lang, 1933;Species;flava;1;88194;1;293115;1;;88182;88182;Harpacticoida;Lang;1933;97015;0;1;;;;;Mesochra;Canthocamptidae;;293115;293115;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97570;88195;Mesochra heldti;Monard, 1935;Species;heldti;1;88195;1;115699;1;;88182;88182;Harpacticoida;Monard;1935;97016;0;1;;;;;Mesochra;Canthocamptidae;;115699;115699;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97575;88196;Mesochra hinumaensis;Kikuchi Y., 1972;Species;hinumaensis;1;88196;1;353290;1;;88182;88182;Harpacticoida;Kikuchi Y.;1972;97017;0;1;;;;;Mesochra;Canthocamptidae;;353290;353290;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97580;88197;Mesochra inconspicua;(Scott T., 1899);Species;inconspicua;1;88197;0;;0;;88182;88182;Harpacticoida;Scott T.;1899;97018;0;1;;;;;Mesochra;Canthocamptidae;;115700;115700;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97590;88199;Mesochra lindbergi;Petkovski, 1964;Species;lindbergi;1;88199;1;115702;1;;88182;88182;Harpacticoida;Petkovski;1964;97020;0;1;;;;;Mesochra;Canthocamptidae;;115702;115702;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97595;88200;Mesochra meridionalis;Sars G.O., 1905;Species;meridionalis;1;88200;1;353294;1;;88182;88182;Harpacticoida;Sars G.O.;1905;97021;0;1;;;;;Mesochra;Canthocamptidae;;353294;353294;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97600;88201;Mesochra mexicana;Wilson M.S., 1971;Species;mexicana;1;88201;1;353295;1;;88182;88182;Harpacticoida;Wilson M.S.;1971;97022;0;1;;;;;Mesochra;Canthocamptidae;;353295;353295;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97605;88202;Mesochra nana;Brady, 1910;Species;nana;1;88202;1;293116;1;;88182;88182;Harpacticoida;Brady;1910;97023;0;1;;;;;Mesochra;Canthocamptidae;;293116;293116;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97610;88203;Mesochra neotropica;Jakobi, 1956;Species;neotropica;1;88203;1;353297;1;;88182;88182;Harpacticoida;Jakobi;1956;97024;0;1;;;;;Mesochra;Canthocamptidae;;353297;348780;;NB;19/4/2016 00:00:00;;;;;;;0
