grouptax;sortnophyl;id;sname;authorship;rank;uninomen;accepted;related_to_accepted;basionym;fk_aphia_basionym;protonym;remarks;parent_id;fk_telangio_taxon;phylum;authonym;year;sortnospe;nothonym;prefavatar;fk_ref_morphonym;comnames;comnames_languages;fk_ref_comnames;taxonp;taxongp;fk_eunis_morphonym;fk_aphia_morphonym;fk_aphia_ergonym;fk_aphia_parent;checked_by;checked_date;validated_by;validated_date;workfield;status_synonymy;status_onym;status_chresonym;Fossil
Harpacticoida;106705;86444;Tisbidae;Stebbing, 1910;Family;Tisbidae;1;86444;1;115183;1;;86110;86110;Harpacticoida;Stebbing;1910;96291;0;1;;;;;Harpacticoida;Podoplea;;115183;115183;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;105610;86544;Tachidiidae;Sars G.O., 1909;Family;Tachidiidae;1;86544;1;115178;1;;86110;86110;Harpacticoida;Sars G.O.;1909;96286;0;1;;;;;Harpacticoida;Podoplea;;115178;115178;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;102610;86593;Laophontidae;Scott T., 1904;Family;Laophontidae;1;86593;1;115155;1;;86110;86110;Harpacticoida;Scott T.;1904;96262;0;1;;;;;Harpacticoida;Podoplea;;115155;115155;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;104210;86886;Metidae;Boeck, 1873;Family;Metidae;1;86886;1;115162;1;;86110;86110;Harpacticoida;Boeck;1873;96269;0;1;;;;;Harpacticoida;Podoplea;;115162;115162;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;99165;86898;Cylindropsyllidae;Sars G.O., 1909;Family;Cylindropsyllidae;1;86898;1;115147;1;;86110;86110;Harpacticoida;Sars G.O.;1909;96254;0;1;;;;;Harpacticoida;Podoplea;;115147;115147;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;95040;86999;Ameiridae;Boeck, 1865;Family;Ameiridae;1;86999;1;115135;1;;86110;86110;Harpacticoida;Boeck;1865;96241;0;1;;;;;Harpacticoida;Podoplea;;115135;115135;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;104935;87283;Parastenocarididae;Chappuis, 1940;Family;Parastenocarididae;1;87283;1;115170;1;;86110;86110;Harpacticoida;Chappuis;1940;96277;0;1;;;;;Harpacticoida;Podoplea;;115170;115170;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;95010;87291;Aegisthidae;Giesbrecht, 1893;Family;Aegisthidae;1;87291;1;115133;1;;86110;86110;Harpacticoida;Giesbrecht;1893;96239;0;1;;;;;Harpacticoida;Podoplea;;115133;115133;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;98030;87295;Cerviniidae;Sars M., 1903;Family;Cerviniidae;1;87295;1;115142;1;;86110;86110;Harpacticoida;Sars M.;1903;96248;0;1;;;;;Harpacticoida;Podoplea;;115142;115133;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;104285;87340;Neobradyidae;Olofsson, 1917;Family;Neobradyidae;1;87340;1;115164;1;;86110;86110;Harpacticoida;Olofsson;1917;96271;0;1;;;;;Harpacticoida;Podoplea;;115164;115164;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;104190;87343;Louriniidae;Monard, 1927;Family;Louriniidae;1;87343;1;115161;1;;86110;86110;Harpacticoida;Monard;1927;96268;0;1;;;;;Harpacticoida;Podoplea;;115161;115161;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;104465;87347;Paramesochridae;Lang, 1944;Family;Paramesochridae;1;87347;1;115168;1;;86110;86110;Harpacticoida;Lang;1944;96275;0;1;;;;;Harpacticoida;Podoplea;;115168;115168;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;96470;87487;Ancorabolidae;Sars G.O., 1909;Family;Ancorabolidae;1;87487;1;115136;1;;86110;86110;Harpacticoida;Sars G.O.;1909;96242;0;1;;;;;Harpacticoida;Podoplea;;115136;115136;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;98260;87488;Cletodidae;Scott T., 1904;Family;Cletodidae;1;87488;1;115143;1;;86110;86110;Harpacticoida;Scott T.;1904;96250;0;1;;;;;Harpacticoida;Podoplea;;115143;115143;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;99530;87743;Diosaccidae;Sars G.O., 1906;Family;Diosaccidae;1;87743;1;115150;1;;86110;86110;Harpacticoida;Sars G.O.;1906;96256;0;1;;;;;Harpacticoida;Podoplea;;115150;115163;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;96875;88132;Canthocamptidae;Sars G.O., 1906;Family;Canthocamptidae;1;88132;1;737263;1;;86110;86110;Harpacticoida;Sars G.O.;1906;96246;0;1;;;;;Harpacticoida;Podoplea;;737263;115140;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;104245;88367;Miraciidae;Dana, 1846;Family;Miraciidae;1;88367;1;115163;1;;86110;86110;Harpacticoida;Dana;1846;96270;0;1;;;;;Harpacticoida;Podoplea;;115163;115163;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;106060;88376;Thalestridae;Sars G.O., 1905;Family;Thalestridae;1;88376;1;115181;1;;86110;86110;Harpacticoida;Sars G.O.;1905;96289;0;1;;;;;Harpacticoida;Podoplea;;115181;115181;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;104885;88523;Parastenheliidae;Lang, 1936;Family;Parastenheliidae;1;88523;1;115169;1;;86110;86110;Harpacticoida;Lang;1936;96276;0;1;;;;;Harpacticoida;Podoplea;;115169;115169;;NB;19/4/2016 00:00:00;;;;;;;0
Brachiopoda;56440;156772;Craniidae;Menke, 1828;Family;Craniidae;1;156772;1;104024;1;;2000018;2000018;Brachiopoda;Menke;1828;57200;0;1;;;;;Cranioidea;Craniida;;104024;104024;235164;NB;28/5/2015 00:00:00;VG;1/6/2015 00:00:00;;;;;0
Brachiopoda;56100;156793;Terebratulidae;Gray, 1840;Family;Terebratulidae;1;156793;1;104035;1;;2000023;2000023;Brachiopoda;Gray;1840;57600;0;1;;;;;Terebratuloidea;Terebratulidina;;104035;104035;235211;NB;28/5/2015 00:00:00;VG;1/6/2015 00:00:00;;;;;0
Brachiopoda;56150;156800;Cancellothyrididae;Thomson, 1926;Family;Cancellothyrididae;1;156800;1;104028;1;;2000024;2000024;Brachiopoda;Thomson;1926;57500;0;1;;;;;Cancellothyroidea;Terebratulidina;;104028;104028;235234;NB;28/5/2015 00:00:00;VG;1/6/2015 00:00:00;;;;;0
